cluster_id,cluster_label,doc_count,doc_types,mean_char_count,top_terms,date_range
-1,Unassigned,155,MEMO (139) | PDF (10) | ATTACHMENT (3) | FORM (2) | XLSX (1),6506,,2021-04-19 to 2026-05-27
0,number parcels · parcels · reassessment · total number · reassessment completed,33,MEMO (33),954,"number parcels, parcels, reassessment, total number, reassessment completed, cyclical, cyclical reassessment, number, completed, assessor",2022-01-03 to 2026-06-02
1,sales disclosure · disclosure · sales · sales data · disclosure data,8,MEMO (8),3203,"sales disclosure, disclosure, sales, sales data, disclosure data, disclosure fee, sales application, gateway sales, state sales, fee",2022-12-30 to 2025-12-11
2,av · cyclical · cyclical reassessment · adams adams · adams,15,MEMO (13) | TEMPLATE (1) | XLSX (1),8268,"av, cyclical, cyclical reassessment, adams adams, adams, ratio study, av current, reassessment, total av, study",2022-01-27 to 2025-12-30
3,commission · tif · commissions · tif management · redevelopment,15,MEMO (15),3177,"commission, tif, commissions, tif management, redevelopment, redevelopment commissions, management application, allocation area, allocation, excess assessed",2022-02-23 to 2026-05-26
4,times new · roman · new roman · agricultural land · base rate,16,MEMO (8) | RESOURCE (4) | PDF (4),70787,"times new, roman, new roman, agricultural land, base rate, cash rent, capitalization rate, net income, roman pt, capitalization",2022-11-30 to 2026-01-02
5,fund information · information fund · fund fund · fund · adoption information,9,MEMO (8) | DOCX (1),6165,"fund information, information fund, fund fund, fund, adoption information, adopting body, official vote, county indiana, vote, adoption",2022-02-04 to 2026-03-23
6,decaf · auditors software · auditors · excise tax · county auditors,9,MEMO (9),2133,"decaf, auditors software, auditors, excise tax, county auditors, software vendors, form, copies, send, distributions",2022-06-21 to 2026-06-02
7,deadline gateway · day county · pertains exclusively · code pertains · deadline,14,MEMO (14),13205,"deadline gateway, day county, pertains exclusively, code pertains, deadline, code january, pertains, exclusively, gateway submission, day",2022-02-03 to 2026-02-18
8,creek · jackson · township · creek township · harrison,22,MEMO (13) | XLSX (5) | SUPPLEMENT (2) | TEMPLATE (1) | PDF (1),268949,"creek, jackson, township, creek township, harrison, washington, jackson township, center township, union, harrison township",2022-02-04 to 2026-05-22
9,supplemental distributions · cy · lcm · budget agency · huntington jackson,8,MEMO (8),3466,"supplemental distributions, cy, lcm, budget agency, huntington jackson, jay jefferson, distributions, washington wayne, jackson, state budget",2022-05-12 to 2026-05-15
10,gateway · delegation · application · budget forms · waste management,17,MEMO (17),1987,"gateway, delegation, application, budget forms, waste management, upload, budget, solid waste, support, solid",2022-02-03 to 2026-06-01
11,population · acs · map · pop · pop window,13,MEMO (12) | PDF (1),11313,"population, acs, map, pop, pop window, click, image illustration, illustration purposes, illustration, image",2022-03-10 to 2026-05-22
12,annexation · clerk · assessed values · values · assessed,11,MEMO (10) | PDF (1),2748,"annexation, clerk, assessed values, values, assessed, auditors, ordinances, january january, county auditors, filed",2022-02-22 to 2026-03-20
13,school corporation · corporation · bus · school · bus replacement,11,MEMO (11),7781,"school corporation, corporation, bus, school, bus replacement, levy increase, replacement plan, appeal, operations fund, increase",2022-08-13 to 2024-08-22
14,appeal · excess levy · levy appeal · excess · levy,23,MEMO (18) | TEMPLATE (4) | DOCX (1),11945,"appeal, excess levy, levy appeal, excess, levy, appeal petition, functions, revenue source, requested appeal, governmental functions",2022-08-25 to 2025-08-05
15,ind code · school · ind · code · department,86,MEMO (82) | PDF (4),10812,"ind code, school, ind, code, department, body, resolution, section, county, hearing",2022-01-19 to 2026-06-03
16,course · continuing education · hours · briljent · continuing,9,MEMO (9),9768,"course, continuing education, hours, briljent, continuing, education, registration, credit hours, ce credit, ce",2022-08-25 to 2025-09-05
